STATUS | HOMO | PREDICTED | TARGET
WRONG | - | Why are you kicking the cow? | WHEN YOU'RE COOKING CHIPS AT HOME
WRONG | - | This is a test. | THE TRADITIONAL CHIP PAN OFTEN STAYS ON THE SHELF
WRONG | H | This is a black cat | THROUGH WHAT THEY CALL A KNIFE BLOCK
WRONG | H | What channel is the weather on? | WHICH INVOLVES FIRING A POTATO DOWN A PIPE
WRONG | - | I am going to the store. | APART FROM THE GOLDEN COLOUR AND THE DELICIOUS FLAVOUR
WRONG | - | What role can mechanics have in chemistry? | WHAT REALLY MAKES A CHIP A CHIP IS THE CRUNCH
WRONG | - | Fawt | FRESH OUT THE FRYER
WRONG | - | PINNANDER | AS PEANUTS GROW UNDERGROUND
WRONG | H | This is a test | THAT'S A HUGE AMOUNT OF MEAT
WRONG | H | A kid landed in a dungeon. | I COULD LABEL THIS ON THE INGREDIENTS AS MEAT
WRONG | H | This is a safe house. | THE INSIDE SHOULD BE NICE AND SOFT AND REALLY OOZE OUT
WRONG | H | And what's new | AND WE NEED TO LOOK AT FISH
WRONG | H | Some may not be able to. | SOMETIMES IT MIGHT NOT BE THE PRETTIEST FISH
WRONG | H | SAY MAY BAG WADH D AAN | IT MIGHT BE UGLY WITH THE HEAD ON
WRONG | H | This ring is not for you | THERE IS NOTHING WRONG WITH THEM
WRONG | - | This is a test | THE FIRST STAGE IS MASHING
WRONG | - | And bring him to the hospital. | AND BEING GIVEN HEAVY METAL POISONS
WRONG | - | What is the name of the game? | WAS FLORENCE NIGHTINGALE
WRONG | H | Mason's natural language processing course | MISS FLORENCE NIGHTINGALE IS NOW STAYING AT DR GULLY'S WATER CURE ESTABLISHMENT IN MALVERN
WRONG | H | Shaw Wallace Well Now Bank Herf Well | SHE WAS VERY WELL KNOWN BECAUSE HER FAMILY WERE VERY
WRONG | H | Bash the witness | BUT SHE WASN'T QUITE SURE WHAT THAT WORK SHOULD BE
WRONG | H | AFTER KRAMIN | AFTER THE CRIMEAN WAR
WRONG | H | And Fosters Is Singing | AND FOR ESTABLISHING NURSING AS A TRUE PROFESSION
WRONG | H | What is your name? | WHEN SHE VISITED HERE
WRONG | H | Shaw Wallace Akhulwal Foor Kiyur Foor Hershell F | SHE WAS ACTUALLY LOOKING FOR A CURE FOR HERSELF
WRONG | H | Bashawell | BUT SHE WASN'T VERY WELL THEN
WRONG | H | This is a message from the National Security Agency. | THERE WAS ONLY ONE MISS NIGHTINGALE IN THE WHOLE WORLD THEN
WRONG | H | Sow your words, and you will reap your reward. | SO EVERYBODY FOUND OUT WHERE SHE WAS AND ALL THE NEWSPAPERS SAID
WRONG | H | How was your day? | HE WAS VERY CLEVER
WRONG | H | Hello World, I want to verify your identity. | THE WHOLE FAMILY WERE VERY WORRIED
WRONG | H | I heard a roar | IS THERE ARE NO COLOURS OR LIGHTS THAT STAND OUT
WRONG | H | A rat in the kitchen | AM I WRITING THEIR MUSIC
WRONG | - | Said | ON HIS DEATHBED
WRONG | H | A way to hell | I WAS HELPED AT THE BEGINNING BY A COMMITTEE
WRONG | H | John is a terrorist | JUST TURN UP BETWEEN CERTAIN HOURS
WRONG | H | Aidan's door | I DO A SHORT SHOW ON DEMAND
WRONG | - | And Dharfar Pabla Majik | AND THEREFORE PROBABLY MAGICALLY
WRONG | H | And then I think I'm going to have a drink. | AND TO SACRIFICE IT IN THE EVENT OF A GERMAN INVASION
WRONG | H | SINNED | SO IN THE FUTURE
WRONG | H | Butterwell | BUT HOW WELL THEY WERE PREPARED AS WELL
WRONG | - | And Beringing Hame | AND BIRMINGHAM BEING THE GREAT INDUSTRIAL AREA SINCE VICTORIAN TIMES WITH THE BLACK COUNTRY
WRONG | - | I want to go to the lake | EVEN CIVILIAN THINGS LIKE GAS MASKS AND THINGS LIKE THAT
WRONG | - | Don't Rover Bang | DEFEND THE RIVERBANK
WRONG | H | Butt Overdrive | BUT OVER THE PAST TEN YEARS
WRONG | H | What is the meaning of the word'manger'? | WE'VE MANAGED TO GATHER A LOT MORE INFORMATION
WRONG | H | What is a word?" "What is a word?" "What is a word?" "What is a word?" "What is a word?" "What is a word?" "What is a word?" "What is a word?" "What | WINSTON CHURCHILL WAS PRIME MINISTER WHEN IT WAS FIRST BROADCAST
WRONG | - | And I want to form a band | AND REVOLVES AROUND A FARMING FAMILY
WRONG | H | Shut your nose and wait for it | SURELY YOU KNOW WHAT IT IS BY NOW
WRONG | H | Butt head | BUT IF YOU STILL HAD ANY DOUBTS
WRONG | H | This bird is broken | IT'S BROADCAST ON BBC RADIO 4 FROM SUNDAYS TO FRIDAYS
WRONG | H | Buckwheat is not a good snack. | BECAUSE WE RECORD 24 EPISODES IN SIX DAYS
WRONG | H | Which man then? | WHICH IS A MONTH'S AIR TIME
WRONG | H | Why are you not in church? | WE'RE NOT IN EACH OTHER'S POCKETS EVERY DAY
WRONG | - | I want to hang man | EVERYONE HAS ENTANGLEMENTS
WRONG | H | And then win a goat. | AND THEN WHEN WE GOT OFF IN LONDON SAID
WRONG | H | This is a sentence. | THE ARCHERS LOST ITS EDUCATIONAL PURPOSE IN 1972
WRONG | H | BAT STAY PRAISED INT STAY ROLF AVOID ROLL F | BUT STILL PRIDES ITSELF IN ITS REFLECTION OF RURAL LIFE
WRONG | - | Dahlav | THAT LOVABLE ROGUE
WRONG | H | And the laterns were taken away | AND IT TAKES A LOT MORE THAN I IMAGINED
WRONG | H | This is a test | TO BE SURE THAT I WILL GET
WRONG | H | Hello, roll damon't | WHO IS REALLY DOMINANT TO HIM
WRONG | H | Dare to hear the word 'water' and you will hear the word 'life'. | THEY'RE UP HERE WHATEVER THE WEATHER
WRONG | - | This is a test | THEY SHOULD MAKE PUMPKIN PIES
WRONG | H | Nathan won't stop talking | NOT BECAUSE HE WANTS TO MAKE A PIE OR BLEND THEM INTO A SOUP
WRONG | H | But won't it take time? | BUT WHEN IT COMES TO PUMPKIN CARVING WORLD RECORDS
WRONG | - | And Bigger Rock | AND IT'S A BIG RECORD
WRONG | H | Aiken | I CAN ASSURE YOU
WRONG | H | Yakimski | YOU CAN'T KEEP WHAT YOU BUY
WRONG | H | What did you do yesterday? | WHAT DO YOU THINK
WRONG | H | This is a mall. | TWO EX MILITARY MEN
WRONG | H | Why would you do such a thing? | YOU WOULD HAVE A FOLIO STAND LIKE THIS
WRONG | H | What was the weather like? | WHICH WAS MADE FOR INDIVIDUAL SHEETS
WRONG | H | Can't have | CONTAINING A MAP OF THE STARS
WRONG | - | This is a dog. | DESCRIBING THE COUNTRIES OF THE WORLD
WRONG | H | Natal | NOT A BAD LITTLE
WRONG | H | Aid guard wire | I DO AGREE WITH YOU
WRONG | H | Aunt don't mention that. | I WANT THEM TO DONATE
WRONG | - | Put me on the phone | PUT HER MAKE UP ON
WRONG | H | I saw a wolf | ISSUE A FEW LAST MINUTE INSTRUCTIONS AND WALK OFF
WRONG | - | And I saw | AND IF THAT'S WHAT SHE WANTS
WRONG | H | What is the word of the day? | WE WANT DECENT WORKING CONDITIONS FOR EMPLOYEES
WRONG | H | What is the weather like? | WE WENT INTO FIRE FIGHTING BECAUSE WE CARE ABOUT WE MAY HAVE LOUSY PAY AND HAVE WORKING
WRONG | H | Wear a dart | WE ARE A DEMOCRATIC SOCIETY
WRONG | H | This is a test of the emergency broadcast system. | THIS COULD HAVE BEEN AVOIDED IF THE POSTAL WORKERS GOT THE RIGHT TERMS AND CONDITIONS AND IF THEY
WRONG | H | Waybley Mstrayker | WHY BLAME THE STRIKERS
WRONG | H | Win your door | WHEN YOU DRAW THE LINE
WRONG | H | still have a mass of massless things | THEY STILL HAVE SOME MUSCLES TO FLEX
WRONG | - | What kind of anchor do you want? | WITH THE COUNTRY UNDER THE COSH
WRONG | H | Stray cats are stray cats | ARE STRIKES JUSTIFIED OR JUST THE TACTICS OF BULLY BOY UNIONS
WRONG | H | Yawned parrot | UNIONS ARE PART OF THE PUBLIC
WRONG | H | This is a duck. | THEY HAVE DEMOCRATICALLY VOTED TO STRIKE
WRONG | H | They fear frog zombies. | TAKE FOR EXAMPLE
WRONG | - | Mandalore | MORAL AND ETHICAL STANDARDS
WRONG | H | What did you do yesterday? | WHAT DO YOU THINK
WRONG | H | A long time ago, in a galaxy far, far away... | I LONG FOR THE DAY WHEN CHRISTIANS ARE KNOWN BY THEIR LOVE
WRONG | H | Nate Bayder | NOT BY THEIR OPT OUTS
WRONG | H | Yukalate | YOU LOOK AT THE REALITY IN THE COUNTRY
WRONG | - | And I want to tell you about the end of the world. | AND THE POLICE WERE IMMEDIATELY AFTER THEM
WRONG | H | Hawaii | HE WASN'T BREAKING THE LAW
WRONG | H | This is a test | HAD TO DRESS AS MUSLIMS
WRONG | H | Toward | TO OR WORKING CONDITIONS
WRONG | H | Mowpal have a bad day | MOST PEOPLE HAVE NO IDEA ABOUT THIS
WRONG | H | This is a test. | THIS IS MEAT THAT'S PREPARED FOR MUSLIMS
WRONG | H | Bath a hole | BUT THEY HAVE ALL GONE OVER TO HALAL MEAT
WRONG | H | Dare | THEY ARE THE POOR
WRONG | - | And don't spy on me | AND THIS POINT REALLY MAKES ME EXPLODE
WRONG | H | Grey T B IY1 P AA1 R T AH1 V AH0 M AH2 L T IY0 K AH1 L CH ER0 AH0 L S AY1 AH0 T IY0 B AH1 T DH AH | GREAT TO BE PART OF A MULTICULTURAL SOCIETY BUT THE FACT IS THAT BRITAIN IS A CHRISTIAN
WRONG | - | I wish you a happy birthday. | AS A JEWISH PERSON
WRONG | H | I have a bat. | I BUY IT BUT I DON'T EXPECT KFC TO HAVE IT ON THEIR MENU
WRONG | H | I want to eat | IF I WANT TO HAVE IT
WRONG | - | Kickstart | KEEPING ATHEISTS OUT OF PARLIAMENT
WRONG | H | This is a strawberry bat. | THEY SHOULD NOT STRIKE BUT TERMINATE IT
WRONG | H | Pillow me some money | PEOPLE MAY SAY IT IS AN EXTREME EXAMPLE
WRONG | H | bat pralbim | BUT THE PROBLEM IS
WRONG | H | Solve the word problem | SO IT IS NOT THE DOMAIN OF THE WORKERS THAT THEY ARE SOLELY VIOLENT
WRONG | H | What is the man's name? | WE HAVE NOT HEARD THE FULL STORY OF WHAT BA MANAGEMENT HAVE DONE TO STAFF
WRONG | H | This is a test. | THAT'S THE VOTE IN OUR TX POLL THIS MORNING
WRONG | H | Biffed the poll | BEFORE THE POLL CLOSES
WRONG | H | What's wrong with the car? | THIS WEEK THE HIGH COURT HEARD CHRISTIANS CLAIM THEY WERE BANNED FROM FOSTERING BECAUSE THEY
WRONG | H | How are you? | OTHER HIGH PROFILE CHRISTIANS
WRONG | - | Basham | BISHOPS AMONG THEM
WRONG | H | Son Refused to Join the Army | ALISON RUOFF IS AN EVANGELICAL CHRISTIAN
WRONG | - | Sheer zoo fire | SHE SHARES THOSE FEARS
WRONG | H | You can't win if you don't try. | YOU CAN VIRTUALLY DO ANYTHING IN THIS COUNTRY
WRONG | H | Band Saw | SOCIETY BENDS OVER BACKWARDS TO ACCOMMODATE ONE
WRONG | H | This is a word. | THERE ARE TIMES WHEN WE ARE NOT EVEN ALLOWED TO WEAR SYMBOLS OF OUR CHRISTIAN FAITH
WRONG | H | This is a very important message. | DESPITE THEM BEING VERY MUCH IN THE MINORITY
WRONG | H | This is a test. | THE SECRETIVE INTRODUCTION OF HALAL MEAT
WRONG | H | Frieda's desk is in the back of the room. | FREEDOM OF SPEECH IS A BASIC PRINCIPLE OF ANY DEMOCRATIC SOCIETY
WRONG | - | SAY SAM TAY | AT THE SAME TIME
WRONG | H | I think I'm going to have a heart attack | I THINK I MAY HAVE LOST TOUCH WITH THE AMERICAN PEOPLE SINCE I WAS IN THE WHITE HOUSE
WRONG | H | A wish was made | I WISH I WAS ON THE CAMPAIGN TRAIL
WRONG | H | There is a rat in the house | THURSDAY IS ARMISTICE DAY
WRONG | H | Manny was surfing in the Pacific Ocean when he saw a shark. | MANY OF US OF WEARING POPPIES TO COMMEMORATE THE SACRIFICES MADE BY SOLDIERS
WRONG | H | This is a test of the emergency broadcast system. | THEIR JOB IS TO IMPLEMENT THE WAR EFFECTIVELY
WRONG | H | Heterosis is the increase in the phenotypic expression of a character due to the combined effects of two or more genes, one from each parent, that are not expressed when present in the same individual. Heterosis is the basis for | HISTORY IS WOMEN IN THE 120S WHO LOST FATHERS
WRONG | H | This is a test. | IS TO MAKE A COMMITMENT TO PEACE
WRONG | H | Nathan said he was a lawyer. | NOT THE ONES ON OTHER SIDES WHO DIED OR PERHAPS EVEN ALLIES
WRONG | H | Don't mention the war | THEY NEED TO MOVE WITH THE TIMES
WRONG | H | Say it | I SAY IT HOW IT IS
WRONG | H | I think you're a nice guy. | IF YOU THINK IT IS
WRONG | H | This is a test of the emergency broadcast system. | THEY HAVE COMMITTED A CRIME AGAINST SOCIETY AND AGAINST THE NATION
WRONG | H | A word | I WOULD LIKE TO SAY THAT
WRONG | H | may I wonder what's wrong | ACTUALLY MY FATHER WAS IN NORMANDY
WRONG | H | This is a banana. | THEY TELL ME STORIES AND WE KNOW ABOUT THE BOMBING OF DRESDEN
WRONG | H | Sheep have eaten the ham. | THE SHAMEFUL THINGS THAT HAPPEN BY OUR SIDE
WRONG | H | This is a test. | THE BEST WAY TO REMEMBER IS TO COMMIT TO PEACE
WRONG | H | Yummy | YOU MAY WELL HAVE A VIEW ON THAT
WRONG | H | Please donate to the Web site. | PLEASE DO CONTRIBUTE TO OUR WEBSITE
WRONG | H | Stray knot | STRIKING IS NOT WRONG
WRONG | H | I think I'm a doctor. | I THINK YOU DO HAVE TO HAVE THAT ULTIMATE DECISION TO MAKE
WRONG | - | Said | HAVING SAID THAT
WRONG | H | And then the thing was done. | I DON'T THINK THAT'S RIGHT
WRONG | H | A thing that is not spoken of is not spoken of. | I THINK THERE'S STILL HUGE RESPECT FOR THE POPPY
WRONG | H | Hello, London, what's your name? | HAVE LAID DOWN THEIR LIVES FOR OUR FREEDOM
WRONG | H | AOL is a great product. | ALTHOUGH WE ARE STILL ACTIVELY INVOLVED IN TWO WARS
WRONG | H | Batteries not included | BUT I WEAR IT IN GREATER RECOGNITION FOR THE MILITARY WHO ARE NOW BEING NOT ONLY THOSE WHO HAVE
WRONG | H | I love you, I'm sorry, I'm leaving | LOST LIMBS AND WILL NEVER HAVE THE SAME SORT OF LIFE AGAIN
WRONG | - | Grow on | I'VE GROWN OLD LOOKING AT THEM
WRONG | H | What's going on? | WE'VE GOT ENOUGH FOR OWN DEMANDS
WRONG | - | What is the answer to the question? | WITH THE RESTAURANTS
WRONG | H | This is a sentence. | THAT'S NOT THE CASE NOWADAYS
