target,prediction,is_homophone,word_S,word_I,word_D,word_H,char_S,char_I,char_D,char_H,wer,cer,exact_match
AND FOR ME THE SURPRISE WAS,AND FOR ME THE SURPRISE WAS,True,0,0,0,6,0,0,0,27,0.0,0.0,True
THEY'RE MOVING AROUND,THEY'RE MOVING AROUND,False,0,0,0,3,0,0,0,21,0.0,0.0,True
AND WE WERE RIGHT,AND WE WERE RIGHT,True,0,0,0,4,0,0,0,17,0.0,0.0,True
WHEN THERE ISN'T MUCH ELSE IN THE GARDEN,WHEN THERE ISN'T MUCH ELSE IN THE GARDEN,True,0,0,0,8,0,0,0,40,0.0,0.0,True
SORT OF SECOND HALF OF OCTOBER,SORT OF SECOND HALF OF OCTOBER,False,0,0,0,6,0,0,0,30,0.0,0.0,True
WELL INTO NOVEMBER,WELL INTO NOVEMBER,False,0,0,0,3,0,0,0,18,0.0,0.0,True
WE CAN JUST ABOUT GET AWAY WITH IT NOW,WE CAN JUST ABOUT GET AWAY WITH IT NOW,True,0,0,0,9,0,0,0,38,0.0,0.0,True
SOMETHING LIKE A GARDEN COMPOST,SOMETHING LIKE A GARDEN COMPOST,False,0,0,0,5,0,0,0,31,0.0,0.0,True
IT'S NOT ALL ABOUT SIZE,IT'S NOT ALL ABOUT SIZE,True,0,0,0,5,0,0,0,23,0.0,0.0,True
AND IF YOU WANT WONDERFUL,AND IF YOU WANT WONDERFUL,True,0,0,0,5,0,0,0,25,0.0,0.0,True
STARTING WITH THE COMPOST,STARTING WITH THE COMPOST,False,0,0,0,4,0,0,0,25,0.0,0.0,True
FOR A BRIEF TIME,FOR A BRIEF TIME,True,0,0,0,4,0,0,0,16,0.0,0.0,True
IT WILL CHANGE LIVES,IT WILL CHANGE LIVES,False,0,0,0,4,0,0,0,20,0.0,0.0,True
WHEN MY HUSBAND AND I ARE NOT AROUND,WHEN MY HUSBAND AND I ARE NOT AROUND,True,0,0,0,8,0,0,0,36,0.0,0.0,True
PLEASE DONATE NOW,PLEASE DONATE NOW,False,0,0,0,3,0,0,0,17,0.0,0.0,True
