tgt_phoneme,hyp_phoneme,count,example_target,example_prediction
K AA M,K AH M,2,AS LONG AS YOU'RE CALM,AS LONG AS YOU'RE COME
F AO R T N AY T,N AY T,1,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY NIGHT
P R AA S P EH K T,P R AA JH EH K T,1,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROJECT
S IH R IY AH,S ER IY,1,WHICH IS NOW IN SYRIA,WHICH IS NOW IN SURREY
T EH R IH NG,T EH R AH F AY IH NG,1,TEARING IT TO THE GROUND,TERRIFYING IT TO THE GROUND
P AY N T,P EY N T,1,THE PERFECT PINT,THE PERFECT PAINT
AE N AH,AE N,1,WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE ACROSS
K R AO S,AH K R AO S,1,WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE ACROSS
EH T AH K AH T,EH TH IH K,1,SO WHAT IS THE ETIQUETTE,SO WHAT IS THE ETHIC
K AA N,K AO N IY,1,MR KHAN SPEAKING,MR CONNIE SPEAKING
OW L IH M P IH K,OW L IH M P IH K S,1,THE OLYMPIC SWIMMER,THE OLYMPICS SWIMMER
AH P S EH T,AH P S EH T S,1,WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS
AH F EH N D IH NG,AO F ER IH NG,1,AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT OFFERING GOD
G L AO S T ER,G L AA S T ER,1,THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER
HH EY S AH N,HH EH Z IH T AH N T,1,I HASTEN TO ADD,I HESITANT TO AD
N IH K OW L AH,N IH K OW L,1,NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICOLE IS DEFINITELY THE LOVE OF MY LIFE
R EH R AH T IY,R IY T AY ER M AH N T,1,IT'S ALL ABOUT RARITY,IT'S ALL ABOUT RETIREMENT
S AA K S,S AE K S,1,BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX
W IH R D ER,W IH R D,1,THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAY JUST GOT WEIRD AND WEIRDER
S T EH L TH,S T EH L AH,1,AND WITH STEALTH,AND WITH STELLA
F L ER IH SH,F L ER IY,1,WITH THAT FLOURISH,WITH THAT FLURRY
M AA R K S AH S T,M AA R K S,1,AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS ASSOCIATION
G R UW P,AH S OW S IY EY SH AH N,1,AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS ASSOCIATION
