target,prediction,is_homophone,cosine_similarity
SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTAND LEASEHOLD,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTANDLY SELL,True,0.5962
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY NIGHT,True,0.9499
LEARNING THE ROPES,LEARNING THE ROPE S,False,0.8764
A LITTLE SAXIFRAGE,A LITTLE SAXOPHONE FRAGMENT,False,0.7249
SQUIRREL POX VIRUS,SQUWAREL POX VIRUS,False,0.6605
SHE WAS A FLAWED SHIP,SHE WAS A FLAWED SHIPPING,False,0.8046
DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,True,0.7142
BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY A,True,0.2698
WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,True,0.9753
BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROJECT,True,0.6224
AS LONG AS YOU'RE CALM,AS LONG AS YOU'RE COME,False,0.5094
FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNOLLED HIS TITLE AS THE PRINCE OF WALES,True,0.9398
WHICH IS NOW IN SYRIA,WHICH IS NOW IN SURREY,True,0.3086
THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,True,0.6054
TEARING IT TO THE GROUND,TERRIFYING IT TO THE GROUND,True,0.5804
THERE WAS A PORTCULLIS,THERE WAS A PERKELLIS,True,0.2805
EVEN THE FOREPLAY,EVEN THE FOUR PLAY,False,0.5374
AND INFLAMMATORY PHOTOGRAPH,AND IN FLAMATORY PHOTOGRAPH,False,0.6659
INFLAMMATORY OR TERRIBLE IMAGES,IN FLAMMATORY OR TERRIBLE IMAGES,True,0.6157
THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,False,0.989
THE PERFECT PINT,THE PERFECT PAINT,False,0.4132
THIS IS SOUTH WELL,THIS IS SOUTHWELL,False,0.5851
THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,True,0.9429
THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,True,0.5822
ISLAM ALLOWS POLYGAMY,ISLAM ALLOWS POLIGAMY,False,0.5043
BUT TEN YEARS AGO,BUT 10 YEARS AGO,True,0.9804
WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE ACROSS,True,0.787
TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,False,0.8885
SO TEN CUBIC METRES,SO 10 CUBIC METRES,True,0.9831
SO WHAT IS THE ETIQUETTE,SO WHAT IS THE ETHIC,True,0.3987
MR KHAN SPEAKING,MR CONNIE SPEAKING,True,0.399
THE OLYMPIC SWIMMER,THE OLYMPICS SWIMMER,False,0.9884
WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,True,0.9752
PUERTO RICAN STYLE,PWARE TO RECONSTRUCT,False,-0.07
I LOVE WEDDINGS,I LOVE WEEDINGS,True,0.4256
GRAHAM BARON ASH,GRAHAM BARRENASH,True,0.572
THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTË SISTERS,True,1.0
WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARATIME MEMORABILIA,True,0.5992
AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT OFFERING GOD,True,0.6859
BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 9/11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,True,0.9916
CHILD OF THE MILLENNIUM,CHILD OF THE MOLYNEUX,False,0.5347
HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FAMILIAL CHOREOGRAPHY EVER SEEN ON THE BOX,True,0.7005
THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,False,0.6804
WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DELICATE ALUMNI,True,0.3083
I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY TO,True,0.9532
I HASTEN TO ADD,I HESITANT TO AD,True,0.3269
PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,False,0.3588
NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICOLE IS DEFINITELY THE LOVE OF MY LIFE,False,0.4616
