row,target
1,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTAND LEASEHOLD
2,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT
3,LEARNING THE ROPES
4,A LITTLE SAXIFRAGE
5,SQUIRREL POX VIRUS
6,SHE WAS A FLAWED SHIP
7,DESPERATE TO PROVE YOUR BIZARRE THEORY
8,BUT THE WALDORF ASTORIA
9,WHICH IS ONLY 10 MINUTES AWAY
10,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT
11,AS LONG AS YOU'RE CALM
12,FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES
13,WHICH IS NOW IN SYRIA
14,THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY
15,TEARING IT TO THE GROUND
16,THERE WAS A PORTCULLIS
17,EVEN THE FOREPLAY
18,AND INFLAMMATORY PHOTOGRAPH
19,INFLAMMATORY OR TERRIBLE IMAGES
20,THAT MAKES A GRAND TOTAL OF SIX
21,THE PERFECT PINT
22,THIS IS SOUTH WELL
23,THINK ABOUT THE MELTING SEA ICE
24,THERE IS A HUGE CROSSOVER BETWEEN THE TWO
25,ISLAM ALLOWS POLYGAMY
26,BUT TEN YEARS AGO
27,WE HEARD THE STORY OF THE NURSE ANNA CROSS
28,TEN DAYS BEFOREHAND
29,SO TEN CUBIC METRES
30,SO WHAT IS THE ETIQUETTE
31,MR KHAN SPEAKING
32,THE OLYMPIC SWIMMER
33,WHICH UPSET SOME OF OUR FEMALE RESIDENTS
34,PUERTO RICAN STYLE
35,I LOVE WEDDINGS
36,GRAHAM BARON ASH
37,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS
38,WE MIGHT FIND SOME MARITIME MEMORABILIA
39,AND IN THE PROCESS OF ME NOT OFFENDING GOD
40,BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE
41,CHILD OF THE MILLENNIUM
42,HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX
43,THE DUKE OF GLOUCESTER
44,WE HAVE THE DELECTABLE NEIL JONES
45,I WANT TO TALK ABOUT DADDY TOO
46,I HASTEN TO ADD
47,PLEASE WELCOME JENNY ECLAIR
48,NICOLA IS DEFINITELY THE LOVE OF MY LIFE
49,THE ROCHELLE TO MY MARVIN
50,SHE'S GOT THE BEST TOP LINE IN THE BUSINESS
51,I'VE BEEN WAXED
52,IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE
53,SOME BURN BRIGHTLY FOR A YEAR OR TWO
54,IN VICTORIAN BRITAIN
55,MAYBE NOT URANIUM
56,BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO
57,NEUTRONS AND ELECTRONS
58,STRETCHING BACK 3
59,PONDERING THE IMMENSITY
60,IT'S ALL ABOUT RARITY
61,BUT SLIGHTLY REBELLIOUS SOCKS
62,DON'T FORGET THAT SCARECROW
63,PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS
64,THE DAY JUST GOT WEIRDER AND WEIRDER
65,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS
66,AND WITH STEALTH
67,THE QUEEN MARY AND THE QUEEN ELIZABETH
68,AND MORE MONEY FOR FIFA
69,THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS
70,WITH THAT FLOURISH
71,BY SOME MIRACLE
72,WITH THEIR DATABASE
73,GET A NEW LOYAL CUSTOMER AND DEBENHAMS
74,I HONESTLY DON'T KNOW WHAT TO DO
75,AS THE MORNING SPREAD UPON THE MOUNTAINS
76,AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP
