target,prediction,is_homophone,bertscore_f1
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FOUR NIGHTS,True,0.9169
LEARNING THE ROPES,LEARNING THE ROLES,False,0.9566
A LITTLE SAXIFRAGE,A LITTLE SAXON FRAGMENT,False,0.8804
SQUIRREL POX VIRUS,SQUAMOUS POX VIRUS,False,0.9077
YOU MUST HAVE A PERSONAL KEY,YOU MUST HAVE A PERSONAL LINK,True,0.8913
SHE WAS A FLAWED SHIP,SHE WAS A FLUID SHIP,False,0.8891
DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,True,0.9273
PROTECTED FROM THE PREVAILING WINDS,PROTECTED FROM THE PERSISTING WINDS,False,0.8879
THE WHOLE GARDENS ARE EXTRAORDINARY AND,THE WHOLE GARDENS ARE EXTRAORDINARILY AND,True,0.94
BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY IS,True,0.8121
WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,True,0.9364
THIS IS VERY SIMILAR,THIS IS VERY SIMILER,True,0.9562
AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,AND TURNING UP STAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,True,0.9901
THIS AUCTION LOT HAS IT IN SPADES,THIS AUCTION LOT HAS ITS INSPACES,True,0.767
IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,IT'S CAUSE METICULOUSLY IMPROVED QUITE DRASTICALLY HERE,True,0.8432
THE APPLIANCES HAVE BEEN DONE NICELY,THE APPLICANTS HAVE BEEN DONE NICELY,True,0.8382
GARAGE AND TECHNO FUNK,GARAGE AND TECH NO FUNK,False,0.9099
WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,WHY ARE MANY SUPERMARKETS STOPPING SELLING CAKE DEGAS,True,0.9164
FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNULLED HIS TITLE AS THE PRINCE OF WALES,True,0.8559
THE GARRISON RESPONDED WITH A HAIL OF ARROWS,THE GARISON RESPONDED WITH A HAIL OF ARROWS,True,0.9333
THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,True,0.9833
