rank,issue,evidence_column,evidence_value,scope,recommended_fix
1,"Compound-word / boundary splitting (e.g. SOUTHWELL -> SOUTH WELL, BEFOREHAND -> BEFORE HAND)",top_failures boundary_hallucination rows,6 of 25 manually-audited top failures (most-cited bucket),"EM-False, recurring across homophone and non-homophone rows",Pre-tokenise compounds in the target side; consider a constrained decoder or post-hoc join rule for known compound lists.
2,"Digit / word number rendering mismatch (SIX <-> 6, TEN <-> 10)",casing_punct_audit contains_digit count,17 of 949 hyps contain a digit; 4 of 76 EM-False hyps use digits when ref used words,Phonetically correct; fails on orthographic convention only,Post-process: convert digit tokens to spelled-out words or vice-versa to match the reference convention.
3,"Proper-noun / rare-word OOV substitutions (WALDORF -> WALLDORF, SAXIFRAGE -> SAXOPHONE FRAGMENT)",top_failures oov_target_substitution rows,6 of 25 manually-audited top failures,EM-False slice; vocabulary coverage gap rather than acoustic failure,Expand CMU dictionary coverage via g2p fallback (already wired through data.g2p); allow free generation rather than forcing closest CMU word.
4,"Open-vowel within-class confusion (AA, EH, EY)",per_phoneme_drilldown high-confidence rows (top 3),AA (14.7%); EY (11.1%); EH (8.2%),Phoneme level; 14 of 38 EM-False subs = 'Vowel' label (36.84%),Feature-aware rescoring does NOT help (vowels share place & manner; only length distinguishes). Retrain with vowel-length augmentation or use a duration-aware acoustic model.
5,Casing artefacts inflate CER but have no research signal,casing_punct_audit uppercase_word_present count,932/949 hyps contain an uppercase word (98.21%),"Mechanical, not acoustic","Lowercase all hypotheses before CER computation, or upper-case all references — pick a single convention. Already mitigated by CER-vs-WER comparison."
6,"Suffix hallucination and space-insertion (SHIPPING for SHIP, ROPE S for ROPES)",top_failures boundary_hallucination + suffix_hallucination rows,7 of 25 manually-audited top failures,EM-False slice,Constrained decoding that penalises intra-word space insertion; subword-tokeniser fix if the issue persists at BPE level.
7,"Exact-homophone substitutions (TO/TOO, BY/BUY, AD/ADD, LLOYD/LOYD)",grammar_breakdown homophone_subs sum,4 of 85 subs are exact homophones (4.71%),Mostly correct; the failure is that reference uses one form and hypothesis uses the other,Upstream: pick canonical form at training time. Downstream: no fix without breaking other usage; BERTScore already shows these are semantically equivalent.
8,BERTScore F1 is high even on EM-False: 52.6% above 0.90,semantic_similarity F1 distribution,"mean=0.8839, >=0.90: 40/76 (52.63%), <0.70: 1/76 (1.32%)",EM-False slice (n=76),Reporting: WER/CER overstates the practical error magnitude for lip-reading. Use BERTScore or human-rated utility alongside WER.
9,Closed-class grammar-rule firings (THEIR/YOUR/ITS/MY/OUR/WHOSE role mismatch),grammar_breakdown n_resolved_by_grammar sum,0 of 85 substitutions escalated by Option-3 grammar rule,Specific: NONE of the {n_homophone_subs} homophone subs in dedup beam-5 trigger a closed-class role mismatch,Corpus contains no (THEIR/THERE) or (YOUR/YORE) misuse; the grammar detector is correctly armed but unused. Keep it for production runs.
10,"Non-word spelling emissions (SQUWAREL, POLIGAMY, NUTRONS)",top_failures non_word_spelling rows,0 of 25 manually-audited top failures,EM-False slice; indicates decoder emission without dictionary constraint,Constrained decoding over CMU vocabulary; or learn a spell-correction post-net trained on homophone-pairs.
