target,prediction,category
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FOUR NIGHTS,Homophone
LEARNING THE ROPES,LEARNING THE ROLES,Lexical
A LITTLE SAXIFRAGE,A LITTLE SAXON FRAGMENT,Other
SQUIRREL POX VIRUS,SQUAMOUS POX VIRUS,Lexical
YOU MUST HAVE A PERSONAL KEY,YOU MUST HAVE A PERSONAL LINK,Lexical
SHE WAS A FLAWED SHIP,SHE WAS A FLUID SHIP,Lexical
DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,Other
PROTECTED FROM THE PREVAILING WINDS,PROTECTED FROM THE PERSISTING WINDS,Lexical
THE WHOLE GARDENS ARE EXTRAORDINARY AND,THE WHOLE GARDENS ARE EXTRAORDINARILY AND,Contextual
BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY IS,Other
WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,Other
THIS IS VERY SIMILAR,THIS IS VERY SIMILER,Other
AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,AND TURNING UP STAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,Other
THIS AUCTION LOT HAS IT IN SPADES,THIS AUCTION LOT HAS ITS INSPACES,Other
IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,IT'S CAUSE METICULOUSLY IMPROVED QUITE DRASTICALLY HERE,Other
THE APPLIANCES HAVE BEEN DONE NICELY,THE APPLICANTS HAVE BEEN DONE NICELY,Lexical
GARAGE AND TECHNO FUNK,GARAGE AND TECH NO FUNK,Other
WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,WHY ARE MANY SUPERMARKETS STOPPING SELLING CAKE DEGAS,Other
