row,target,prediction,is_homophone,bertscore_f1
1,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTAND LEASEHOLD,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTANDLY SELL,True,0.904
2,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY NIGHT,True,0.9193
3,LEARNING THE ROPES,LEARNING THE ROPE S,False,0.8666
4,A LITTLE SAXIFRAGE,A LITTLE SAXOPHONE FRAGMENT,False,0.8563
5,SQUIRREL POX VIRUS,SQUWAREL POX VIRUS,False,0.9219
6,SHE WAS A FLAWED SHIP,SHE WAS A FLAWED SHIPPING,False,0.9319
7,DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,True,0.9273
8,BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY A,True,0.8331
9,WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,True,0.9364
10,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROJECT,True,0.9551
11,AS LONG AS YOU'RE CALM,AS LONG AS YOU'RE COME,False,0.8134
12,FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNOLLED HIS TITLE AS THE PRINCE OF WALES,True,0.905
13,WHICH IS NOW IN SYRIA,WHICH IS NOW IN SURREY,True,0.8077
14,THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,True,0.9833
15,TEARING IT TO THE GROUND,TERRIFYING IT TO THE GROUND,True,0.7662
16,THERE WAS A PORTCULLIS,THERE WAS A PERKELLIS,True,0.8623
17,EVEN THE FOREPLAY,EVEN THE FOUR PLAY,False,0.8446
18,AND INFLAMMATORY PHOTOGRAPH,AND IN FLAMATORY PHOTOGRAPH,False,0.8902
19,INFLAMMATORY OR TERRIBLE IMAGES,IN FLAMMATORY OR TERRIBLE IMAGES,True,0.9155
20,THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,False,0.9133
21,THE PERFECT PINT,THE PERFECT PAINT,False,0.9195
22,THIS IS SOUTH WELL,THIS IS SOUTHWELL,False,0.954
23,THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,True,0.947
24,THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,True,0.9125
25,ISLAM ALLOWS POLYGAMY,ISLAM ALLOWS POLIGAMY,False,0.9328
26,BUT TEN YEARS AGO,BUT 10 YEARS AGO,True,0.8976
27,WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE ACROSS,True,0.8837
28,TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,False,0.9607
29,SO TEN CUBIC METRES,SO 10 CUBIC METRES,True,0.9342
30,SO WHAT IS THE ETIQUETTE,SO WHAT IS THE ETHIC,True,0.8492
31,MR KHAN SPEAKING,MR CONNIE SPEAKING,True,0.7788
32,THE OLYMPIC SWIMMER,THE OLYMPICS SWIMMER,False,0.958
33,WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,True,0.9699
34,PUERTO RICAN STYLE,PWARE TO RECONSTRUCT,False,0.592
35,I LOVE WEDDINGS,I LOVE WEEDINGS,True,0.8728
36,GRAHAM BARON ASH,GRAHAM BARRENASH,True,0.7588
37,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTË SISTERS,True,0.95
38,WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARATIME MEMORABILIA,True,0.9857
39,AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT OFFERING GOD,True,0.9229
40,BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 9/11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,True,0.9767
41,CHILD OF THE MILLENNIUM,CHILD OF THE MOLYNEUX,False,0.7778
42,HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FAMILIAL CHOREOGRAPHY EVER SEEN ON THE BOX,True,0.9729
43,THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER,False,0.8908
44,WE HAVE THE DELECTABLE NEIL JONES,WE HAVE THE DELICATE ALUMNI,True,0.7052
45,I WANT TO TALK ABOUT DADDY TOO,I WANT TO TALK ABOUT DADDY TO,True,0.927
46,I HASTEN TO ADD,I HESITANT TO AD,True,0.7062
47,PLEASE WELCOME JENNY ECLAIR,PLEASE WELCOME GENIE CLARKE,False,0.8781
48,NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICOLE IS DEFINITELY THE LOVE OF MY LIFE,False,0.9091
49,THE ROCHELLE TO MY MARVIN,THE ROSEHELLE TO MY MERVYN,True,0.818
50,SHE'S GOT THE BEST TOP LINE IN THE BUSINESS,SHE'S GOT THE BEST TOPLINE IN THE BUSINESS,True,0.9711
51,I'VE BEEN WAXED,I'VE BEEN WACKED,True,0.7654
52,IT'S ALL ABOUT THE STRICTLY PRO CHALLENGE,IT'S ALL ABOUT THE STRICTLY PROCHALLENGE,False,0.9474
53,SOME BURN BRIGHTLY FOR A YEAR OR TWO,SUMMER BRIGHTLY FOR A YEAR OR TWO,True,0.7877
54,IN VICTORIAN BRITAIN,INVICTORIAN BRITAIN,True,0.9167
55,MAYBE NOT URANIUM,MAYBE NOT URIANIA,True,0.8537
56,BUT IT WAS SO DISCONCERTINGLY CALM IN THE STUDIO,BUT IT WAS SO DISCONCERTINGLY COME IN THE STUDIO,True,0.9031
57,NEUTRONS AND ELECTRONS,NUTRONS AND ELECTRONS,False,0.8903
58,STRETCHING BACK 3,STRETCHING BACK THREE,False,0.9469
59,PONDERING THE IMMENSITY,PONDERING THE IMMANENCE,False,0.9066
60,IT'S ALL ABOUT RARITY,IT'S ALL ABOUT RETIREMENT,False,0.8278
61,BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX,True,0.8572
62,DON'T FORGET THAT SCARECROW,DON'T FORGET THAT SCARCROW,False,0.9104
63,PEOPLE GETTING IN TOUCH AND WANTING TO RECTIFY WRONGS,PEOPLE GETTING IN TOUCH AND WANTING TO WRECK A FIRE ONGS,True,0.8709
64,THE DAY JUST GOT WEIRDER AND WEIRDER,THE DAY JUST GOT WEIRD AND WEIRDER,True,0.8743
65,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISEMENT WHICH SAYS,IT'S ALSO COME UP WITH A STRUCTURE THAT ACTS AS AN ADVERTISMENT WHICH SAYS,True,0.9715
66,AND WITH STEALTH,AND WITH STELLA,False,0.7285
67,THE QUEEN MARY AND THE QUEEN ELIZABETH,THE QWEEN MARY AND THE QUEEN ELIZABETH,True,0.9443
68,AND MORE MONEY FOR FIFA,AND MORE MONEY FOR NHS,True,0.9219
69,THERE ARE NO RECORDINGS OF LLOYD GEORGE AT THE PEAK OF HIS POWERS,THERE ARE NO RECORDINGS OF LOYD GEORGE AT THE PEAK OF HIS POWERS,True,0.9572
70,WITH THAT FLOURISH,WITH THAT FLURRY,False,0.8998
71,BY SOME MIRACLE,BUY SOME MIRACLE,True,0.7863
72,WITH THEIR DATABASE,WITH THEIR DATA BASE,True,0.8098
73,GET A NEW LOYAL CUSTOMER AND DEBENHAMS,GET A NEW LOYAL CUSTOMER AND DEBINOMES,True,0.88
74,I HONESTLY DON'T KNOW WHAT TO DO,HONESTLY DON'T KNOW WHAT TO DO,True,0.9234
75,AS THE MORNING SPREAD UPON THE MOUNTAINS,AS THE MORNING SPREAD UP ON THE MOUNTAINS,True,0.9669
76,AND THE INITIALS STAND FOR THE INTERNATIONAL MARXIST GROUP,AND THE INITIALS STAND FOR THE INTERNATIONAL MARKS ASSOCIATION,True,0.8604
