target,prediction,target_phonemes,prediction_phonemes,is_homophone,exact_match,comment,bucket,bucket_reason
AND FOR ME THE SURPRISE WAS,AND FOR ME THE SURPRISE WAS,AH N D | F AO R | M IY | DH AH | S ER P R AY Z | W AA Z,AH N D | F AO R | M IY | DH AH | S ER P R AY Z | W AA Z,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
THEY'RE MOVING AROUND,THEY'RE MOVING AROUND,DH EH R | M UW V IH NG | ER AW N D,DH EH R | M UW V IH NG | ER AW N D,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
AND WE WERE RIGHT,AND WE WERE RIGHT,AH N D | W IY | W ER | R AY T,AH N D | W IY | W ER | R AY T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
WHEN THERE ISN'T MUCH ELSE IN THE GARDEN,WHEN THERE ISN'T MUCH ELSE IN THE GARDEN,W EH N | DH EH R | IH Z AH N T | M AH CH | EH L S | IH N | DH AH | G AA R D AH N,W EH N | DH EH R | IH Z AH N T | M AH CH | EH L S | IH N | DH AH | G AA R D AH N,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
SORT OF SECOND HALF OF OCTOBER,SORT OF SECOND HALF OF OCTOBER,S AO R T | AH V | S EH K AH N D | HH AE F | AH V | AA K T OW B ER,S AO R T | AH V | S EH K AH N D | HH AE F | AH V | AA K T OW B ER,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WELL INTO NOVEMBER,WELL INTO NOVEMBER,W EH L | IH N T UW | N OW V EH M B ER,W EH L | IH N T UW | N OW V EH M B ER,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
WE CAN JUST ABOUT GET AWAY WITH IT NOW,WE CAN JUST ABOUT GET AWAY WITH IT NOW,W IY | K AE N | JH AH S T | AH B AW T | G EH T | AH W EY | W IH DH | IH T | N AW,W IY | K AE N | JH AH S T | AH B AW T | G EH T | AH W EY | W IH DH | IH T | N AW,True,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
SOMETHING LIKE A GARDEN COMPOST,SOMETHING LIKE A GARDEN COMPOST,S AH M TH IH NG | L AY K | AH | G AA R D AH N | K AA M P OW S T,S AH M TH IH NG | L AY K | AH | G AA R D AH N | K AA M P OW S T,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
IT'S NOT ALL ABOUT SIZE,IT'S NOT ALL ABOUT SIZE,IH T S | N AA T | AO L | AH B AW T | S AY Z,IH T S | N AA T | AO L | AH B AW T | S AY Z,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
AND IF YOU WANT WONDERFUL,AND IF YOU WANT WONDERFUL,AH N D | IH F | Y UW | W AA N T | W AH N D ER F AH L,AH N D | IH F | Y UW | W AA N T | W AH N D ER F AH L,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
STARTING WITH THE COMPOST,STARTING WITH THE COMPOST,S T AA R T IH NG | W IH DH | DH AH | K AA M P OW S T,S T AA R T IH NG | W IH DH | DH AH | K AA M P OW S T,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
FOR A BRIEF TIME,FOR A BRIEF TIME,F AO R | AH | B R IY F | T AY M,F AO R | AH | B R IY F | T AY M,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
IT WILL CHANGE LIVES,IT WILL CHANGE LIVES,IH T | W IH L | CH EY N JH | L IH V Z,IH T | W IH L | CH EY N JH | L IH V Z,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
WHEN MY HUSBAND AND I ARE NOT AROUND,WHEN MY HUSBAND AND I ARE NOT AROUND,W EH N | M AY | HH AH Z B AH N D | AH N D | AY | AA R | N AA T | ER AW N D,W EH N | M AY | HH AH Z B AH N D | AH N D | AY | AA R | N AA T | ER AW N D,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
PLEASE DONATE NOW,PLEASE DONATE NOW,P L IY Z | D OW N EY T | N AW,P L IY Z | D OW N EY T | N AW,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
INSTEAD OF BEING SOMEONE'S ARM CANDY,INSTEAD OF BEING SOMEONE'S ARM CANDY,IH N S T EH D | AH V | B IY IH NG | S AH M W AH N Z | AA R M | K AE N D IY,IH N S T EH D | AH V | B IY IH NG | S AH M W AH N Z | AA R M | K AE N D IY,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
I EXPECTED YOU TO HAVE A PAST,I EXPECTED YOU TO HAVE A PAST,AY | IH K S P EH K T AH D | Y UW | T UW | HH AE V | AH | P AE S T,AY | IH K S P EH K T AH D | Y UW | T UW | HH AE V | AH | P AE S T,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
SEE HOW MUCH IT COMES TO,SEE HOW MUCH IT COMES TO,S IY | HH AW | M AH CH | IH T | K AH M Z | T UW,S IY | HH AW | M AH CH | IH T | K AH M Z | T UW,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
I PAY THE MONEY,I PAY THE MONEY,AY | P EY | DH AH | M AH N IY,AY | P EY | DH AH | M AH N IY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
OVER THE COURSE OF HIS LIFE,OVER THE COURSE OF HIS LIFE,OW V ER | DH AH | K AO R S | AH V | HH IH Z | L AY F,OW V ER | DH AH | K AO R S | AH V | HH IH Z | L AY F,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WHEN IT'S FINISHED,WHEN IT'S FINISHED,W EH N | IH T S | F IH N IH SH T,W EH N | IH T S | F IH N IH SH T,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
BUT BEFORE I DO,BUT BEFORE I DO,B AH T | B IH F AO R | AY | D UW,B AH T | B IH F AO R | AY | D UW,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THIS HOUSE WILL JUST COME TOGETHER AND FLOURISH,THIS HOUSE WILL JUST COME TOGETHER AND FLOURISH,DH IH S | HH AW S | W IH L | JH AH S T | K AH M | T AH G EH DH ER | AH N D | F L ER IH SH,DH IH S | HH AW S | W IH L | JH AH S T | K AH M | T AH G EH DH ER | AH N D | F L ER IH SH,False,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,EH N IY | M AE N | W UH D | B IY | P R AW D | T UW | HH AE V | Y UW | AE Z | AH | S AH N,EH N IY | M AE N | W UH D | B IY | P R AW D | T UW | HH AE V | Y UW | AE Z | AH | S AH N,True,True,,homophone_substitution,phoneme overlap 11/11=1.00 (high)
GET THEM INTO THE GARDEN,GET THEM INTO THE GARDEN,G EH T | DH EH M | IH N T UW | DH AH | G AA R D AH N,G EH T | DH EH M | IH N T UW | DH AH | G AA R D AH N,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
THIS ONE IS TOTALLY OUT OF CONTROL,THIS ONE IS TOTALLY OUT OF CONTROL,DH IH S | W AH N | IH Z | T OW T AH L IY | AW T | AH V | K AH N T R OW L,DH IH S | W AH N | IH Z | T OW T AH L IY | AW T | AH V | K AH N T R OW L,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
BUT IT COMES AND GOES,BUT IT COMES AND GOES,B AH T | IH T | K AH M Z | AH N D | G OW Z,B AH T | IH T | K AH M Z | AH N D | G OW Z,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
I THINK IT'S BRILLIANT,I THINK IT'S BRILLIANT,AY | TH IH NG K | IH T S | B R IH L Y AH N T,AY | TH IH NG K | IH T S | B R IH L Y AH N T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
A ONE BEDROOM FIRST FLOOR FLAT,A ONE BEDROOM FIRST FLOOR FLAT,AH | W AH N | B EH D R UW M | F ER S T | F L AO R | F L AE T,AH | W AH N | B EH D R UW M | F ER S T | F L AO R | F L AE T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
IF IT WAS GOING TO BE INCREASED,IF IT WAS GOING TO BE INCREASED,IH F | IH T | W AA Z | G OW IH NG | T UW | B IY | IH N K R IY S T,IH F | IH T | W AA Z | G OW IH NG | T UW | B IY | IH N K R IY S T,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
BUT IT'S A DECENT SIZE,BUT IT'S A DECENT SIZE,B AH T | IH T S | AH | D IY S AH N T | S AY Z,B AH T | IH T S | AH | D IY S AH N T | S AY Z,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
I'M NOT MASSIVELY HAPPY,I'M NOT MASSIVELY HAPPY,AY M | N AA T | M AE S IH V L IY | HH AE P IY,AY M | N AA T | M AE S IH V L IY | HH AE P IY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
IF YOU ARE LOOKING ROUND AUCTION PROPERTIES BEFORE THE AUCTION,IF YOU ARE LOOKING ROUND AUCTION PROPERTIES BEFORE THE AUCTION,IH F | Y UW | AA R | L UH K IH NG | R AW N D | AA K SH AH N | P R AA P ER T IY Z | B IH F AO R | DH AH | AA K SH AH N,IH F | Y UW | AA R | L UH K IH NG | R AW N D | AA K SH AH N | P R AA P ER T IY Z | B IH F AO R | DH AH | AA K SH AH N,True,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
IT'S A VERY ATTRACTIVE GUIDE PRICE FOR A SUBSTANTIAL HOUSE SO WELL,IT'S A VERY ATTRACTIVE GUIDE PRICE FOR A SUBSTANTIAL HOUSE SO WELL,IH T S | AH | V EH R IY | AH T R AE K T IH V | G AY D | P R AY S | F AO R | AH | S AH B S T AE N CH AH L | HH AW S | S OW | W EH L,IH T S | AH | V EH R IY | AH T R AE K T IH V | G AY D | P R AY S | F AO R | AH | S AH B S T AE N CH AH L | HH AW S | S OW | W EH L,True,True,,homophone_substitution,phoneme overlap 11/11=1.00 (high)
DID THEY GET IT DONE ON TIME AND FOR THE RIGHT MONEY,DID THEY GET IT DONE ON TIME AND FOR THE RIGHT MONEY,D IH D | DH EY | G EH T | IH T | D AH N | AA N | T AY M | AH N D | F AO R | DH AH | R AY T | M AH N IY,D IH D | DH EY | G EH T | IH T | D AH N | AA N | T AY M | AH N D | F AO R | DH AH | R AY T | M AH N IY,True,True,,homophone_substitution,phoneme overlap 12/12=1.00 (high)
BUT WHAT A SURPRISE WHEN YOU COME IN,BUT WHAT A SURPRISE WHEN YOU COME IN,B AH T | W AH T | AH | S ER P R AY Z | W EH N | Y UW | K AH M | IH N,B AH T | W AH T | AH | S ER P R AY Z | W EH N | Y UW | K AH M | IH N,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
