target,prediction,is_homophone,cosine_similarity
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FOUR NIGHTS,True,0.9375
LEARNING THE ROPES,LEARNING THE ROLES,False,0.4098
A LITTLE SAXIFRAGE,A LITTLE SAXON FRAGMENT,False,0.4885
SQUIRREL POX VIRUS,SQUAMOUS POX VIRUS,False,0.7499
YOU MUST HAVE A PERSONAL KEY,YOU MUST HAVE A PERSONAL LINK,True,0.538
SHE WAS A FLAWED SHIP,SHE WAS A FLUID SHIP,False,0.7728
DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,True,0.7142
PROTECTED FROM THE PREVAILING WINDS,PROTECTED FROM THE PERSISTING WINDS,False,0.8952
THE WHOLE GARDENS ARE EXTRAORDINARY AND,THE WHOLE GARDENS ARE EXTRAORDINARILY AND,True,0.8924
BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY IS,True,0.2772
WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,True,0.9753
THIS IS VERY SIMILAR,THIS IS VERY SIMILER,True,0.6683
AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,AND TURNING UP STAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,True,0.9158
THIS AUCTION LOT HAS IT IN SPADES,THIS AUCTION LOT HAS ITS INSPACES,True,0.5373
IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,IT'S CAUSE METICULOUSLY IMPROVED QUITE DRASTICALLY HERE,True,0.7019
THE APPLIANCES HAVE BEEN DONE NICELY,THE APPLICANTS HAVE BEEN DONE NICELY,True,0.4074
GARAGE AND TECHNO FUNK,GARAGE AND TECH NO FUNK,False,0.8707
WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,WHY ARE MANY SUPERMARKETS STOPPING SELLING CAKE DEGAS,True,0.5023
FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNULLED HIS TITLE AS THE PRINCE OF WALES,True,0.8289
THE GARRISON RESPONDED WITH A HAIL OF ARROWS,THE GARISON RESPONDED WITH A HAIL OF ARROWS,True,0.6643
THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,True,0.6054
TEARING IT TO THE GROUND,TERRING IT TO THE GROUND,True,0.6977
THERE WAS A PORTCULLIS,THERE WAS A PERKETELLIS,True,0.2839
EVEN THE FOREPLAY,EVEN THE FOUR PLAY,False,0.5374
TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,TO ALLOW BAD SURVEILLANCE TO WITHSTAND ON THE VYNE,True,0.5733
IN THE FORM OF A DESSERT PLATE,IN THE FORM OF A DESERT PLATE,True,0.8059
THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,False,0.989
THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,True,0.9429
THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,True,0.5822
ISLAM ALLOWS POLYGAMY,EL SALVADOR LOWS POLICY,False,0.016
HERSELF CURRENTLY LEARNING TO SIGN,HERSELF CONTINUALLY LEARNING TO SIGN,True,0.9454
WHERE I'M GOING,WHERE AM I GOING,True,0.9062
BUT TEN YEARS AGO,BUT 10 YEARS AGO,True,0.9804
WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE CROSS,True,0.9234
THEY DON'T CALL THEM TEAM POCKET ROCKET FOR NOTHING,THEY DON'T CALL THEM TEAM POCKET ROCKETS FOR NOTHING,True,0.905
