target,prediction,category
SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTAND LEASEHOLD,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTANDLY SELL,Other
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY NIGHT,Other
LEARNING THE ROPES,LEARNING THE ROPE S,Other
A LITTLE SAXIFRAGE,A LITTLE SAXOPHONE FRAGMENT,Other
SQUIRREL POX VIRUS,SQUWAREL POX VIRUS,Other
SHE WAS A FLAWED SHIP,SHE WAS A FLAWED SHIPPING,Contextual
DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,Other
BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY A,Other
WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,Other
BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROJECT,Lexical
AS LONG AS YOU'RE CALM,AS LONG AS YOU'RE COME,Lexical
FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNOLLED HIS TITLE AS THE PRINCE OF WALES,Other
WHICH IS NOW IN SYRIA,WHICH IS NOW IN SURREY,Other
THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,Other
TEARING IT TO THE GROUND,TERRIFYING IT TO THE GROUND,Lexical
THERE WAS A PORTCULLIS,THERE WAS A PERKELLIS,Other
EVEN THE FOREPLAY,EVEN THE FOUR PLAY,Homophone
AND INFLAMMATORY PHOTOGRAPH,AND IN FLAMATORY PHOTOGRAPH,Other
INFLAMMATORY OR TERRIBLE IMAGES,IN FLAMMATORY OR TERRIBLE IMAGES,Other
THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,Other
THE PERFECT PINT,THE PERFECT PAINT,Lexical
THIS IS SOUTH WELL,THIS IS SOUTHWELL,Other
THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,Other
THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,Other
ISLAM ALLOWS POLYGAMY,ISLAM ALLOWS POLIGAMY,Other
BUT TEN YEARS AGO,BUT 10 YEARS AGO,Other
WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE ACROSS,Homophone
TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,Other
SO TEN CUBIC METRES,SO 10 CUBIC METRES,Other
SO WHAT IS THE ETIQUETTE,SO WHAT IS THE ETHIC,Lexical
MR KHAN SPEAKING,MR CONNIE SPEAKING,Other
THE OLYMPIC SWIMMER,THE OLYMPICS SWIMMER,Contextual
WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,Contextual
PUERTO RICAN STYLE,PWARE TO RECONSTRUCT,Other
I LOVE WEDDINGS,I LOVE WEEDINGS,Other
GRAHAM BARON ASH,GRAHAM BARRENASH,Other
