target,prediction,is_homophone
WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FOUR NIGHTS,True
LEARNING THE ROPES,LEARNING THE ROLES,False
A LITTLE SAXIFRAGE,A LITTLE SAXON FRAGMENT,False
SQUIRREL POX VIRUS,SQUAMOUS POX VIRUS,False
YOU MUST HAVE A PERSONAL KEY,YOU MUST HAVE A PERSONAL LINK,True
SHE WAS A FLAWED SHIP,SHE WAS A FLUID SHIP,False
DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,True
PROTECTED FROM THE PREVAILING WINDS,PROTECTED FROM THE PERSISTING WINDS,False
THE WHOLE GARDENS ARE EXTRAORDINARY AND,THE WHOLE GARDENS ARE EXTRAORDINARILY AND,True
BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY IS,True
WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,True
THIS IS VERY SIMILAR,THIS IS VERY SIMILER,True
AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,AND TURNING UP STAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,True
THIS AUCTION LOT HAS IT IN SPADES,THIS AUCTION LOT HAS ITS INSPACES,True
IT'S COSMETICALLY IMPROVED QUITE DRASTICALLY HERE,IT'S CAUSE METICULOUSLY IMPROVED QUITE DRASTICALLY HERE,True
THE APPLIANCES HAVE BEEN DONE NICELY,THE APPLICANTS HAVE BEEN DONE NICELY,True
GARAGE AND TECHNO FUNK,GARAGE AND TECH NO FUNK,False
WHY ARE MANY SUPERMARKETS STOPPING SELLING CAGED EGGS,WHY ARE MANY SUPERMARKETS STOPPING SELLING CAKE DEGAS,True
FORMALLY ACKNOWLEDGED HIS TITLE AS THE PRINCE OF WALES,FORMALLY ANNULLED HIS TITLE AS THE PRINCE OF WALES,True
THE GARRISON RESPONDED WITH A HAIL OF ARROWS,THE GARISON RESPONDED WITH A HAIL OF ARROWS,True
THE GARRISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,THE GARISON TRIED TO SURRENDER BEFORE HE COULD TRY OUT HIS NEW TOY,True
TEARING IT TO THE GROUND,TERRING IT TO THE GROUND,True
THERE WAS A PORTCULLIS,THERE WAS A PERKETELLIS,True
EVEN THE FOREPLAY,EVEN THE FOUR PLAY,False
TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,TO ALLOW BAD SURVEILLANCE TO WITHSTAND ON THE VYNE,True
