tgt_phoneme,hyp_phoneme,count,example_target,example_prediction
K AA M,K AH M,2,AS LONG AS YOU'RE CALM,AS LONG AS YOU'RE COME
P R AA S P EH K T,P R AA JH EH K T,1,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROJECT
S IH R IY AH,S ER IY,1,WHICH IS NOW IN SYRIA,WHICH IS NOW IN SURREY
P AY N T,P EY N T,1,THE PERFECT PINT,THE PERFECT PAINT
K AA N,K AO N IY,1,MR KHAN SPEAKING,MR CONNIE SPEAKING
AH F EH N D IH NG,AO F ER IH NG,1,AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT OFFERING GOD
G L AO S T ER,G L AA S T ER,1,THE DUKE OF GLOUCESTER,THE DUKE OF GLOSTER
HH EY S AH N,HH EH Z IH T AH N T,1,I HASTEN TO ADD,I HESITANT TO AD
N IH K OW L AH,N IH K OW L,1,NICOLA IS DEFINITELY THE LOVE OF MY LIFE,NICOLE IS DEFINITELY THE LOVE OF MY LIFE
R EH R AH T IY,R IY T AY ER M AH N T,1,IT'S ALL ABOUT RARITY,IT'S ALL ABOUT RETIREMENT
S AA K S,S AE K S,1,BUT SLIGHTLY REBELLIOUS SOCKS,BUT SLIGHTLY REBELLIOUS SAX
S T EH L TH,S T EH L AH,1,AND WITH STEALTH,AND WITH STELLA
F L ER IH SH,F L ER IY,1,WITH THAT FLOURISH,WITH THAT FLURRY
