row,target,prediction,exact_match,is_homophone,n_subs,n_resolved_by_grammar,homophone_subs,near_homophone_subs,other_subs,grammar_explanations
1,AND FOR ME THE SURPRISE WAS,AND FOR ME THE SURPRISE WAS,True,True,0,0,0,0,0,
2,THEY'RE MOVING AROUND,THEY'RE MOVING AROUND,True,False,0,0,0,0,0,
3,AND WE WERE RIGHT,AND WE WERE RIGHT,True,True,0,0,0,0,0,
4,WHEN THERE ISN'T MUCH ELSE IN THE GARDEN,WHEN THERE ISN'T MUCH ELSE IN THE GARDEN,True,True,0,0,0,0,0,
5,SORT OF SECOND HALF OF OCTOBER,SORT OF SECOND HALF OF OCTOBER,True,False,0,0,0,0,0,
6,WELL INTO NOVEMBER,WELL INTO NOVEMBER,True,False,0,0,0,0,0,
7,WE CAN JUST ABOUT GET AWAY WITH IT NOW,WE CAN JUST ABOUT GET AWAY WITH IT NOW,True,True,0,0,0,0,0,
8,SOMETHING LIKE A GARDEN COMPOST,SOMETHING LIKE A GARDEN COMPOST,True,False,0,0,0,0,0,
9,IT'S NOT ALL ABOUT SIZE,IT'S NOT ALL ABOUT SIZE,True,True,0,0,0,0,0,
10,AND IF YOU WANT WONDERFUL,AND IF YOU WANT WONDERFUL,True,True,0,0,0,0,0,
11,STARTING WITH THE COMPOST,STARTING WITH THE COMPOST,True,False,0,0,0,0,0,
12,FOR A BRIEF TIME,FOR A BRIEF TIME,True,True,0,0,0,0,0,
13,IT WILL CHANGE LIVES,IT WILL CHANGE LIVES,True,False,0,0,0,0,0,
14,WHEN MY HUSBAND AND I ARE NOT AROUND,WHEN MY HUSBAND AND I ARE NOT AROUND,True,True,0,0,0,0,0,
15,PLEASE DONATE NOW,PLEASE DONATE NOW,True,False,0,0,0,0,0,
16,INSTEAD OF BEING SOMEONE'S ARM CANDY,INSTEAD OF BEING SOMEONE'S ARM CANDY,True,False,0,0,0,0,0,
17,I EXPECTED YOU TO HAVE A PAST,I EXPECTED YOU TO HAVE A PAST,True,True,0,0,0,0,0,
18,SEE HOW MUCH IT COMES TO,SEE HOW MUCH IT COMES TO,True,True,0,0,0,0,0,
19,I PAY THE MONEY,I PAY THE MONEY,True,True,0,0,0,0,0,
20,OVER THE COURSE OF HIS LIFE,OVER THE COURSE OF HIS LIFE,True,True,0,0,0,0,0,
21,WHEN IT'S FINISHED,WHEN IT'S FINISHED,True,True,0,0,0,0,0,
22,BUT BEFORE I DO,BUT BEFORE I DO,True,True,0,0,0,0,0,
23,THIS HOUSE WILL JUST COME TOGETHER AND FLOURISH,THIS HOUSE WILL JUST COME TOGETHER AND FLOURISH,True,False,0,0,0,0,0,
24,ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,ANY MAN WOULD BE PROUD TO HAVE YOU AS A SON,True,True,0,0,0,0,0,
25,GET THEM INTO THE GARDEN,GET THEM INTO THE GARDEN,True,False,0,0,0,0,0,
26,THIS ONE IS TOTALLY OUT OF CONTROL,THIS ONE IS TOTALLY OUT OF CONTROL,True,True,0,0,0,0,0,
27,BUT IT COMES AND GOES,BUT IT COMES AND GOES,True,True,0,0,0,0,0,
28,I THINK IT'S BRILLIANT,I THINK IT'S BRILLIANT,True,True,0,0,0,0,0,
29,A ONE BEDROOM FIRST FLOOR FLAT,A ONE BEDROOM FIRST FLOOR FLAT,True,True,0,0,0,0,0,
30,IF IT WAS GOING TO BE INCREASED,IF IT WAS GOING TO BE INCREASED,True,True,0,0,0,0,0,
31,BUT IT'S A DECENT SIZE,BUT IT'S A DECENT SIZE,True,True,0,0,0,0,0,
32,I'M NOT MASSIVELY HAPPY,I'M NOT MASSIVELY HAPPY,True,True,0,0,0,0,0,
33,IF YOU ARE LOOKING ROUND AUCTION PROPERTIES BEFORE THE AUCTION,IF YOU ARE LOOKING ROUND AUCTION PROPERTIES BEFORE THE AUCTION,True,True,0,0,0,0,0,
34,IT'S A VERY ATTRACTIVE GUIDE PRICE FOR A SUBSTANTIAL HOUSE SO WELL,IT'S A VERY ATTRACTIVE GUIDE PRICE FOR A SUBSTANTIAL HOUSE SO WELL,True,True,0,0,0,0,0,
35,DID THEY GET IT DONE ON TIME AND FOR THE RIGHT MONEY,DID THEY GET IT DONE ON TIME AND FOR THE RIGHT MONEY,True,True,0,0,0,0,0,
36,BUT WHAT A SURPRISE WHEN YOU COME IN,BUT WHAT A SURPRISE WHEN YOU COME IN,True,True,0,0,0,0,0,
37,BECAUSE IT'S FANTASTIC,BECAUSE IT'S FANTASTIC,True,False,0,0,0,0,0,
38,WHAT DO YOU THINK ABOUT THAT,WHAT DO YOU THINK ABOUT THAT,True,True,0,0,0,0,0,
39,HE'S LOOKING TO SELL IT,HE'S LOOKING TO SELL IT,True,True,0,0,0,0,0,
40,IT'S NOT AS EASY AS IT LOOKS,IT'S NOT AS EASY AS IT LOOKS,True,True,0,0,0,0,0,
41,STICK TO WHAT YOU'RE GOOD AT,STICK TO WHAT YOU'RE GOOD AT,True,True,0,0,0,0,0,
42,THAT IS IMPORTANT,THAT IS IMPORTANT,True,False,0,0,0,0,0,
43,BUT HE DID REALLY WELL,BUT HE DID REALLY WELL,True,True,0,0,0,0,0,
44,AND DO WHAT I USED TO DO WHEN I WAS A LITTLE BOY,AND DO WHAT I USED TO DO WHEN I WAS A LITTLE BOY,True,True,0,0,0,0,0,
45,EXCEPT AS A LAST RESORT,EXCEPT AS A LAST RESORT,True,True,0,0,0,0,0,
46,YOU NEVER KNOW BY THE END OF THE BUILD,YOU NEVER KNOW BY THE END OF THE BUILD,True,True,0,0,0,0,0,
47,I KNOW IT COMES WITH PLANNING PERMISSION,I KNOW IT COMES WITH PLANNING PERMISSION,True,True,0,0,0,0,0,
48,BUT WE'RE GOING TO IMPROVE ON THINGS LIKE THE GREEN ROOF,BUT WE'RE GOING TO IMPROVE ON THINGS LIKE THE GREEN ROOF,True,True,0,0,0,0,0,
49,WE'VE GOT A GREAT RELATIONSHIP,WE'VE GOT A GREAT RELATIONSHIP,True,False,0,0,0,0,0,
50,WHERE IS THE GAS,WHERE IS THE GAS,True,True,0,0,0,0,0,
51,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTAND LEASEHOLD,SOME MEMBERS OF THE PUBLIC DON'T QUITE UNDERSTANDLY SELL,False,True,2,0,0,0,2,
52,IF YOU LIVED IN THE BUILDING,IF YOU LIVED IN THE BUILDING,True,True,0,0,0,0,0,
53,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY FORTNIGHT,WOULD YOU WANT NEW NEIGHBOURS EVERY WEEK OR EVERY NIGHT,False,True,1,0,0,0,1,
54,BUT I THINK HE'S ALREADY LEARNED SOME REALLY IMPORTANT PROPERTY LESSONS,BUT I THINK HE'S ALREADY LEARNED SOME REALLY IMPORTANT PROPERTY LESSONS,True,True,0,0,0,0,0,
55,CHOOSING A GOOD LOCATION,CHOOSING A GOOD LOCATION,True,False,0,0,0,0,0,
56,YOU HAVE TO HOLD YOUR NERVE,YOU HAVE TO HOLD YOUR NERVE,True,True,0,0,0,0,0,
57,WHO'S VERY MUCH INTO FAMILY HISTORY,WHO'S VERY MUCH INTO FAMILY HISTORY,True,True,0,0,0,0,0,
58,WE DON'T WANT TO SPEND MORE THAN,WE DON'T WANT TO SPEND MORE THAN,True,True,0,0,0,0,0,
59,IT CERTAINLY WON'T BE,IT CERTAINLY WON'T BE,True,True,0,0,0,0,0,
60,I THINK SOMETHING DRASTIC NEEDS TO BE DONE,I THINK SOMETHING DRASTIC NEEDS TO BE DONE,True,True,0,0,0,0,0,
61,WHAT DO YOU KNOW ABOUT IT,WHAT DO YOU KNOW ABOUT IT,True,True,0,0,0,0,0,
62,I'M RIGHT IN SAYING THAT,I'M RIGHT IN SAYING THAT,True,True,0,0,0,0,0,
63,SO LET'S GO BACK AND FIND OUT,SO LET'S GO BACK AND FIND OUT,True,True,0,0,0,0,0,
64,I'M VERY IMPRESSED,I'M VERY IMPRESSED,True,True,0,0,0,0,0,
65,THE BEST BARGAINS,THE BEST BARGAINS,True,False,0,0,0,0,0,
66,NOT QUITE AS HIGH,NOT QUITE AS HIGH,True,True,0,0,0,0,0,
67,IT'S A PLUS POINT,IT'S A PLUS POINT,True,False,0,0,0,0,0,
68,THE FIRST AND SECOND FLOOR FLATS,THE FIRST AND SECOND FLOOR FLATS,True,False,0,0,0,0,0,
69,AS A RESULT OF SMOKING,AS A RESULT OF SMOKING,True,False,0,0,0,0,0,
70,WE'LL GIVE IT A TRY,WE'LL GIVE IT A TRY,True,False,0,0,0,0,0,
71,GO TO THE PRESS,GO TO THE PRESS,True,True,0,0,0,0,0,
72,LEARNING THE ROPES,LEARNING THE ROPE S,False,False,1,0,0,0,1,
73,EIGHT FEET TALL,EIGHT FEET TALL,True,True,0,0,0,0,0,
74,AND THE REASON FOR THAT,AND THE REASON FOR THAT,True,True,0,0,0,0,0,
75,A LITTLE SAXIFRAGE,A LITTLE SAXOPHONE FRAGMENT,False,False,1,0,0,0,1,
76,IT MAY BE A MINIATURE COMPARED TO THAT,IT MAY BE A MINIATURE COMPARED TO THAT,True,True,0,0,0,0,0,
77,I CAN PLANT THEM IN THAT SPOT,I CAN PLANT THEM IN THAT SPOT,True,True,0,0,0,0,0,
78,SOMETIMES IT DOESN'T,SOMETIMES IT DOESN'T,True,False,0,0,0,0,0,
79,I THINK IT LOOKS GREAT,I THINK IT LOOKS GREAT,True,True,0,0,0,0,0,
80,THAT'S QUITE A LARGE LEAF,THAT'S QUITE A LARGE LEAF,True,False,0,0,0,0,0,
81,AND IT'S A GREAT WAY TO EAT IT,AND IT'S A GREAT WAY TO EAT IT,True,True,0,0,0,0,0,
82,THAT FIRST MEETING,THAT FIRST MEETING,True,False,0,0,0,0,0,
83,BUT NOW WE HAVE THESE VIRUSES,BUT NOW WE HAVE THESE VIRUSES,True,True,0,0,0,0,0,
84,SQUIRREL POX VIRUS,SQUWAREL POX VIRUS,False,False,1,0,0,0,1,
85,CAUSES IT NO HARM,CAUSES IT NO HARM,True,True,0,0,0,0,0,
86,BUT NOT FOR ME AS A FARMER,BUT NOT FOR ME AS A FARMER,True,True,0,0,0,0,0,
87,IT'S THAT SIMPLE,IT'S THAT SIMPLE,True,False,0,0,0,0,0,
88,THIS REALLY IS A TALE OF TWO CITIES,THIS REALLY IS A TALE OF TWO CITIES,True,True,0,0,0,0,0,
89,IT'S A LONG WAY FROM HOME,IT'S A LONG WAY FROM HOME,True,True,0,0,0,0,0,
90,AS YOU ENTER THE REAR PART OF THE SHOP,AS YOU ENTER THE REAR PART OF THE SHOP,True,True,0,0,0,0,0,
91,LOTS OF THINGS TO THINK ABOUT,LOTS OF THINGS TO THINK ABOUT,True,True,0,0,0,0,0,
92,I'M STILL HAPPY,I'M STILL HAPPY,True,False,0,0,0,0,0,
93,YOU MUST HAVE A PERSONAL KEY,YOU MUST HAVE A PERSONAL KEY,True,True,0,0,0,0,0,
94,WE WILL OWN IT TOGETHER,WE WILL OWN IT TOGETHER,True,True,0,0,0,0,0,
95,IT WILL BE A GREAT INVESTMENT,IT WILL BE A GREAT INVESTMENT,True,True,0,0,0,0,0,
96,OR PROPERTIES SHOULD I SAY,OR PROPERTIES SHOULD I SAY,True,True,0,0,0,0,0,
97,PRETTY ON THE OUTSIDE,PRETTY ON THE OUTSIDE,True,False,0,0,0,0,0,
98,BECAUSE IT WAS OFFICES,BECAUSE IT WAS OFFICES,True,False,0,0,0,0,0,
99,VERY CLOSE BY THE UNIVERSITY,VERY CLOSE BY THE UNIVERSITY,True,True,0,0,0,0,0,
100,GROUND FLOOR FLAT,GROUND FLOOR FLAT,True,False,0,0,0,0,0,
101,I WOULD MARKET THAT,I WOULD MARKET THAT,True,True,0,0,0,0,0,
102,ADD ANOTHER TEN ON,ADD ANOTHER TEN ON,True,True,0,0,0,0,0,
103,ONE BEDROOM APARTMENTS AROUND HERE AT THE MOMENT,ONE BEDROOM APARTMENTS AROUND HERE AT THE MOMENT,True,True,0,0,0,0,0,
104,PROBABLY AROUND 85,PROBABLY AROUND 85,True,False,0,0,0,0,0,
105,AND SINCE THE CONVERSION,AND SINCE THE CONVERSION,True,False,0,0,0,0,0,
106,REALISTIC VALUE WISE,REALISTIC VALUE WISE,True,True,0,0,0,0,0,
107,SHE WAS A FLAWED SHIP,SHE WAS A FLAWED SHIPPING,False,False,1,0,0,0,1,
108,EVEN BEFORE SHE ENTERED THE WATER,EVEN BEFORE SHE ENTERED THE WATER,True,False,0,0,0,0,0,
109,VISITING ALMOST ALL PARTS OF THE EMPIRE,VISITING ALMOST ALL PARTS OF THE EMPIRE,True,False,0,0,0,0,0,
110,FROM SMALL SHIPS,FROM SMALL SHIPS,True,False,0,0,0,0,0,
111,IS IT TRUE SHE WAS,IS IT TRUE SHE WAS,True,False,0,0,0,0,0,
112,SOMETIMES IT'S DIFFICULT TO KNOW WHERE,SOMETIMES IT'S DIFFICULT TO KNOW WHERE,True,True,0,0,0,0,0,
113,IF YOU INTEND TO BID ON A PLACE,IF YOU INTEND TO BID ON A PLACE,True,True,0,0,0,0,0,
114,IT'S HARD TO COME AWAY FROM IT,IT'S HARD TO COME AWAY FROM IT,True,True,0,0,0,0,0,
115,IT SEEMS A VERY GOOD LOCATION,IT SEEMS A VERY GOOD LOCATION,True,True,0,0,0,0,0,
116,BECAUSE OF THE DEMAND OF THE MARKET,BECAUSE OF THE DEMAND OF THE MARKET,True,False,0,0,0,0,0,
117,IT MIGHT BE VIABLE,IT MIGHT BE VIABLE,True,True,0,0,0,0,0,
118,THAT'S MY KIND OF LOCATION,THAT'S MY KIND OF LOCATION,True,False,0,0,0,0,0,
119,WHAT WAS IT THAT MADE YOU THINK,WHAT WAS IT THAT MADE YOU THINK,True,True,0,0,0,0,0,
120,HOW CAN I DO THAT,HOW CAN I DO THAT,True,True,0,0,0,0,0,
121,DESTROYING THE PROPERTY,DESTROYING THE PROPERTY,True,False,0,0,0,0,0,
122,PURELY BY CHANCE,PURELY BY CHANCE,True,True,0,0,0,0,0,
123,ARE THEY STRUGGLING OR ARE THEY FLUSHED WITH SUCCESS,ARE THEY STRUGGLING OR ARE THEY FLUSHED WITH SUCCESS,True,True,0,0,0,0,0,
124,HE'S MY BUILDER,HE'S MY BUILDER,True,False,0,0,0,0,0,
125,WE PLAYED IN A BAND TOGETHER,WE PLAYED IN A BAND TOGETHER,True,True,0,0,0,0,0,
126,AFTER JUST A COUPLE OF DAYS,AFTER JUST A COUPLE OF DAYS,True,False,0,0,0,0,0,
127,JUST LIKE ANY GOOD COMIC BOOK VILLAIN,JUST LIKE ANY GOOD COMIC BOOK VILLAIN,True,False,0,0,0,0,0,
128,AND THEN OF COURSE,AND THEN OF COURSE,True,True,0,0,0,0,0,
129,DESPERATE TO PROVE YOUR BIZARRE THEORY,DESPERATE TO PROVE YOUR BIZARRE,False,True,0,0,0,0,0,
130,BUT SINCE JACK'S FIRST DISCOVERY,BUT SINCE JACK'S FIRST DISCOVERY,True,True,0,0,0,0,0,
131,PROTECTED FROM THE PREVAILING WINDS,PROTECTED FROM THE PREVAILING WINDS,True,False,0,0,0,0,0,
132,SEARCHING FOR ANSWERS,SEARCHING FOR ANSWERS,True,True,0,0,0,0,0,
133,WE KNOW WHAT THEY ARE,WE KNOW WHAT THEY ARE,True,True,0,0,0,0,0,
134,THERE'S NO OBVIOUS REASON,THERE'S NO OBVIOUS REASON,True,True,0,0,0,0,0,
135,TAKING HORTICULTURE TO THE EXTREME,TAKING HORTICULTURE TO THE EXTREME,True,True,0,0,0,0,0,
136,THE WHOLE GARDENS ARE EXTRAORDINARY AND,THE WHOLE GARDENS ARE EXTRAORDINARY AND,True,True,0,0,0,0,0,
137,LIKE HUNDREDS OF THOUSANDS OF PEOPLE DO EVERY YEAR,LIKE HUNDREDS OF THOUSANDS OF PEOPLE DO EVERY YEAR,True,True,0,0,0,0,0,
138,BUT NOW THERE'S MORE PROTECTION,BUT NOW THERE'S MORE PROTECTION,True,True,0,0,0,0,0,
139,ABOUT 20 YEARS AGO,ABOUT 20 YEARS AGO,True,True,0,0,0,0,0,
140,ENJOY THE SUMMER,ENJOY THE SUMMER,True,False,0,0,0,0,0,
141,ARE THEY RELATIVES OF YOURS,ARE THEY RELATIVES OF YOURS,True,True,0,0,0,0,0,
142,NOT JUST A HOTEL,NOT JUST A HOTEL,True,True,0,0,0,0,0,
143,BUT THE WALDORF ASTORIA,BUT THE WALLDORF STORY A,False,True,2,0,0,0,2,
144,THEY WOULD BE ABLE TO GO BACK,THEY WOULD BE ABLE TO GO BACK,True,True,0,0,0,0,0,
145,NOT JUST A HOTEL,NOT JUST A HOTEL,True,True,0,0,0,0,0,
146,EVERY SEPTEMBER THIS PLACE WOULD BE TRANSFORMED INTO WHAT WAS,EVERY SEPTEMBER THIS PLACE WOULD BE TRANSFORMED INTO WHAT WAS,True,True,0,0,0,0,0,
147,FOR OVER 700 YEARS,FOR OVER 700 YEARS,True,True,0,0,0,0,0,
148,SO FROM HIS VANTAGE POINT,SO FROM HIS VANTAGE POINT,True,True,0,0,0,0,0,
149,THERE IS NO AIR SO THERE IS NO SOUND,THERE IS NO AIR SO THERE IS no SOUND,True,True,0,0,0,0,0,
150,WITH ONE OF THE ROOMS UPSTAIRS,WITH ONE OF THE ROOMS UPSTAIRS,True,True,0,0,0,0,0,
151,WHICH IS ONLY 10 MINUTES AWAY,WHICH IS ONLY TEN MINUTES AWAY,False,True,1,0,0,0,1,
152,THIS IS A SWEET,THIS IS A SWEET,True,False,0,0,0,0,0,
153,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROSPECT,BEFORE WE ALL GET TOO EXCITED ABOUT THAT PROJECT,False,True,1,0,0,0,1,
154,IT CAN BE QUITE EXPENSIVE,IT CAN BE QUITE EXPENSIVE,True,True,0,0,0,0,0,
155,IT'S A MULTICULTURAL,IT'S A MULTICULTURAL,True,False,0,0,0,0,0,
156,BUYING A NEW BUILD PROPERTY SHOULD MEAN YOU DON'T HAVE ANY WORK TO DO,BUYING A NEW BUILD PROPERTY SHOULD MEAN YOU DON'T HAVE ANY WORK TO DO,True,True,0,0,0,0,0,
157,SOME ISSUES WITH POTENTIAL DAMP,SOME ISSUES WITH POTENTIAL DAMP,True,True,0,0,0,0,0,
158,A GREAT PLACE FOR HIM TO BE,A GREAT PLACE FOR HIM TO BE,True,True,0,0,0,0,0,
159,WE HAVE TO PAY FOR THAT,WE HAVE TO PAY FOR THAT,True,True,0,0,0,0,0,
160,SO RATHER THAN JUST RELYING ON THIS INFORMATION,SO RATHER THAN JUST RELYING ON THIS INFORMATION,True,True,0,0,0,0,0,
161,ALL OF THE BRAIN IS COMBINING ALL THE DIFFERENT SENSES,ALL OF THE BRAIN IS COMBINING ALL THE DIFFERENT SENSES,True,False,0,0,0,0,0,
162,WHO DOESN'T HAVE VISION,WHO DOESN'T HAVE VISION,True,True,0,0,0,0,0,
163,SO YOU HAVE YOUR BATHROOM IN THIS AREA AND THEN,SO YOU HAVE YOUR BATHROOM IN THIS AREA AND THEN,True,True,0,0,0,0,0,
164,WHEN I SEE THAT,WHEN I SEE THAT,True,True,0,0,0,0,0,
165,AND I WOULDN'T BE SURPRISED,AND I WOULDN'T BE SURPRISED,True,True,0,0,0,0,0,
166,THIS IS VERY SIMILAR,THIS IS VERY SIMILAR,True,True,0,0,0,0,0,
167,OR HAVE THEY ENCOUNTERED PROBLEMS,OR HAVE THEY ENCOUNTERED PROBLEMS,True,True,0,0,0,0,0,
168,AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,AND TURNING UPSTAIRS INTO AN OPEN PLAN AREA IS DEFINITELY THE WAY TO GO,True,True,0,0,0,0,0,
169,TRAVEL THREE MILES FURTHER WEST AND YOU DO GET MORE FOR YOUR MONEY,TRAVEL THREE MILES FURTHER WEST AND YOU DO GET MORE FOR YOUR MONEY,True,True,0,0,0,0,0,
170,IF THAT WAS FITTED OUT,IF THAT WAS FITTED OUT,True,False,0,0,0,0,0,
171,WILL IT BE A FUN,WILL IT BE A FUN,True,True,0,0,0,0,0,
172,FABULOUS PROJECT FOR THEM,FABULOUS PROJECT FOR THEM,True,True,0,0,0,0,0,
173,WILL IT BE ABOVE PAR,WILL IT BE ABOVE PAR,True,True,0,0,0,0,0,
174,THAT'S AN OPTION,THAT'S AN OPTION,True,True,0,0,0,0,0,
175,THAT'S VERY BAD NEWS,THAT'S VERY BAD NEWS,True,True,0,0,0,0,0,
176,AND THAT'S REALLY WELL DONE,AND THAT'S REALLY WELL DONE,True,True,0,0,0,0,0,
177,IT TAKES HARD WORK,IT TAKES HARD WORK,True,False,0,0,0,0,0,
178,AND THINGS LIKE THAT WE'LL DO OURSELVES,AND THINGS LIKE THAT WE'LL DO OURSELVES,True,True,0,0,0,0,0,
179,THIS AUCTION LOT HAS IT IN SPADES,THIS AUCTION LOT HAS IT IN SPADES,True,True,0,0,0,0,0,
180,IF YOU CAN'T GO UP,IF YOU CAN'T GO UP,True,True,0,0,0,0,0,
